,2015년,2016년,2017년,2018년,2019년
0,31.7625,31.1125,29.968750000000004,25.133333333333336,23.927500000000002
1,34.883333335,34.580555555833335,33.26666666666667,27.76388889083334,26.45
2,24.00208333333333,23.87395833333333,23.403125,19.346875,19.161250000000003
3,18.1,17.424999999999997,16.95,14.808333333333337,13.870000000000001
4,28.933333333333337,28.502083333333335,27.63541666666667,24.85625,23.669999999999998
5,15.200000000000001,15.066666666666668,14.566666666666668,10.58333333333333,10.410000000000002
6,26.233333333333334,25.783333333333335,24.941666666666666,21.091666666666665,20.699999999999996
7,23.96666666666667,23.566666666666663,22.849999999999998,19.691666666666663,19.000000000000004
8,27.650000000000002,27.191666666666663,26.391666666666666,21.033333333333335,20.44
9,13.433333333333335,13.274999999999999,13.116666666666665,11.675000000000002,10.970000000000002
10,16.033333333333335,16.458333333333332,16.2,14.350000000000001,14.029999999999998
11,24.941666666666666,23.63333333333333,21.495833333333337,16.35,15.814999999999998
12,26.88333333333333,26.775000000000002,25.908333333333335,20.92916666666667,19.54
13,27.09166666666667,26.8,25.2,21.991666666666664,20.714999999999996
