,2015년,2016년,2017년,2018년,2019년
0,758.8333333333334,759.3958333333334,778.5416666666666,946.8333333333334,961.35
1,912.3888888833334,909.1666666583333,916.2222222250001,1029.5833331666668,1048.3333334000001
2,621.5625,618.3645833333334,627.46875,713.125,716.2875
3,539.6666666666666,543.6666666666666,552.75,606.0,621.6
4,466.25,465.7916666666667,470.4791666666667,501.0,503.775
5,654.8333333333334,656.0,658.8333333333334,678.3333333333334,688.2
6,481.1666666666667,482.25,489.4166666666667,554.0,560.7
7,544.1666666666666,543.6666666666666,548.5,601.9166666666666,611.0
8,549.5,547.3333333333334,545.8333333333334,563.25,528.6
9,408.3333333333333,419.8333333333333,435.0833333333333,592.25,613.5
10,418.3333333333333,413.6666666666667,418.75,497.5833333333333,491.9
11,376.75,382.0833333333333,394.4166666666667,437.5416666666667,441.65
12,385.0833333333333,382.4166666666667,380.75,381.5416666666667,390.55
13,290.4166666666667,291.4583333333333,302.8333333333333,361.5416666666667,372.7
